X,Y,OBJECTID,LRSDate,RouteIdentifier,Location,DirectionOfTravel,StateRouteNumber,RelatedRouteType,RelatedRouteQualifier,SingleUnitTruckPct,DoubleUnitTruckPct,TripleUnitTruckPct,AADT,AccumulatedRouteMile,GlobalID,ReportingYear
-122.906656455147,46.6044114336376,507,2022/12/31 08:00:00+00,005S107239,"S1 RAMP (RUSH RD TO SR 5 SB)  AFTER MILEPOST 0.00: LX07278-RUSH RD INTERSECTION; BEGIN ROUTE",Southeast,005,S1,07239,7.51999998,25.7199993,2.42000008,3300,0.0799999982,{467D8A97-F938-4149-98D1-29A1ED91142F},2022
-117.411297781312,47.6645169683022,508,2022/12/31 08:00:00+00,002CODIVISN,NORTH OF MILEPOST 290.70: NORTH RIVER DR WYE CONNECTION,South,002,CO,DIVISN,2.17000008,0.970000029,0.0599999987,24000,1.5,{054BE3E1-A4BD-4E21-969F-30E3CCCEB7B4},2022
-122.970868835412,47.0453361541262,509,2022/12/31 08:00:00+00,101R236429,"R2 RAMP (SR 101 WB TO MUD BAY RD)  AFTER MILEPOST 0.00: R1 RAMP INTERSECTION; BEGIN ROUTE",Northwest,101,R2,36429,3.31999993,0.660000026,0.0500000007,4100,0.189999998,{615FCBA0-5A05-47CB-B47E-2373C36F6788},2022
-120.482538113619,46.6808873827078,510,2022/12/31 08:00:00+00,821,NORTHWEST OF MILEPOST 0.29: SR 823-HARRISON RD INTERSECTION,Bothways,821,,,6.01000023,3.78999996,1.15999997,3800,0.300000012,{C573D54F-CC9E-4C34-9722-FF1420BA7FD7},2022
-119.045945698345,47.0848878231224,511,2022/12/31 08:00:00+00,090P118860,"P1 RAMP (SR 90 EB TO WARDEN RD)  AFTER MILEPOST 0.00: SR 90 EB INTERSECTION; BEGIN ROUTE",Southeast,090,P1,18860,,,,420,0.239999995,{981F1B70-523D-4F41-B6BE-B30FC98FCE06},2022
-117.693146842181,47.5042447256301,512,2022/12/31 08:00:00+00,902,"WEST OF MILEPOST 0.11: SR 90 OFF RAMP; SR 90 ON RAMP",Bothways,902,,,,,,2200,0.119999997,{A3D2E817-2D8A-4079-BFD7-6141B3125061},2022
-122.399043241385,48.8031432133612,513,2022/12/31 08:00:00+00,542,SOUTHEAST OF MILEPOST 3.80: NOON RD INTERSECTION,Bothways,542,,,3.25,3.51999998,1.03999996,12000,3.78999996,{D1191F23-70BF-4E88-B7F6-BD93EFB321CB},2022
-121.939173705772,47.5255711373988,514,2022/12/31 08:00:00+00,090Q102286,"Q1 RAMP (SE 82ND ST TO SR 90 EB)  AFTER MILEPOST 0.00: LX02252-SE 82ND ST INTERSECTION; BEGIN ROUTE",Southeast,090,Q1,02286,,,,2400,0.0599999987,{4E50C1BA-0508-43FC-8C9B-00F740686B90},2022
-122.18440935889,47.6788809903194,515,2022/12/31 08:00:00+00,405,AT MILEPOST 18.09: NE 85TH ST (OLD SR 908) BRIDGE,Bothways,405,,,,,,158000,18.0799999,{34595463-2C8F-4026-B645-04C4F3AB9C73},2022
-119.917032105912,46.7380025852454,516,2022/12/31 08:00:00+00,243,NORTH OF MILEPOST 13.95: RD 24 SW WB ROUNDABOUT,Bothways,243,,,,,,6000,13.96,{FFE592C5-0DC8-4828-B5E9-07012D1DE2E6},2022
-117.578531114885,47.8151988441266,517,2022/12/31 08:00:00+00,291,NORTHWEST OF MILEPOST 13.82: SUNCREST DR INTERSECTION,Bothways,291,,,3.6099999,0.649999976,0,6200,13.8299999,{8D8D9F82-F015-4B4F-ABBD-CFDCE0E72EFE},2022
-118.308562214486,46.7582880963787,518,2022/12/31 08:00:00+00,260,"SOUTHEAST OF MILEPOST 39.49: SR 26 INTERSECTION; END ROUTE",Bothways,260,,,7.61000013,5.53999996,1.74000001,920,37.9700012,{8C70105E-601B-4B31-A738-9A942F268E6A},2022
-122.271345744786,47.3773653161352,519,2022/12/31 08:00:00+00,516,"SOUTHEAST OF MILEPOST 3.59: MEEKER ST, REITH RD WYE CONNECTION",Bothways,516,,,3.49000001,1.45000005,0.0199999996,23000,3.58999991,{7A74621F-00F7-43A7-A217-11AEAE12C2EB},2022
-122.317891287284,47.5207558343587,520,2022/12/31 08:00:00+00,099CI02453,COLLECTOR-DISTRIBUTOR  AFTER MILEPOST 0.33: P502486 OFF RAMP,Northwest,099,CI,02453,,,,930,0.379999995,{9B398A27-C39B-4248-AF28-192BB990AFE3},2022
-122.18738148058,47.6646859579747,521,2022/12/31 08:00:00+00,405S101686,S1 RAMP (LX01744 TO SR 405 SB)  AFTER MILEPOST 0.23: ENTRANCE FROM FLYER STOP,South,405,S1,01686,,,,5000,0.289999992,{1D8A363D-CFDB-486B-9538-F383DD975749},2022
-120.474066360853,46.5316367467029,522,2022/12/31 08:00:00+00,097,SOUTH OF MILEPOST 75.63: UNION GAP-OLD SR 97 ON RAMP,Bothways,097,,,3.26999998,4.92999983,0.709999979,23000,75.1900024,{B7AA164C-5737-4940-9417-CE34E5285471},2022
-122.462170492698,48.7537895020245,523,2022/12/31 08:00:00+00,005,AT MILEPOST 253.63: WHATCOM CREEK BRIDGE,Bothways,005,,,,,,62000,253.610001,{88C55BF0-BEB9-4671-8852-8DA3A8AF52D7},2022
-122.502067462531,45.5916058272592,524,2022/12/31 08:00:00+00,014R100890,"R1 RAMP (SR 14 WB TO SE 164TH AVE)  AFTER MILEPOST 0.00: SR 14 WB INTERSECTION; BEGIN ROUTE",Northwest,014,R1,00890,,,,3900,0.280000001,{25670059-B598-4D0D-AF11-44F7C0D3DB59},2022
-122.339340819141,47.5784842889876,525,2022/12/31 08:00:00+00,099,AT MILEPOST 29.37: PERMANENT RECORDER R101N,Bothways,099,,,3.86999989,1.75999999,0.109999999,50000,23.1100006,{C36A562D-2EB6-4AA4-BB54-04132D6D8F57},2022
-122.317341184066,47.518236285647,526,2022/12/31 08:00:00+00,099R102499,"R1 RAMP (CD02512 TO 14TH AVE)  AFTER MILEPOST 0.00: CD02512-SBCD LANE INTERSECTION; BEGIN ROUTE",Southeast,099,R1,02499,,,,910,0.280000001,{5A6EC09B-575F-47E3-B563-B6A5B60EC358},2022
-122.221349854622,47.9225768089298,527,2022/12/31 08:00:00+00,005Q118997,"Q1 RAMP (SR 526 EB TO SR 5 NB)  AFTER MILEPOST 0.00: SR 526 EB INTERSECTION; BEGIN ROUTE",East,005,Q1,18997,,,,15000,0.300000012,{4C921740-489E-41D3-B811-892261334C5F},2022
-124.214913990892,48.1769155617142,528,2022/12/31 08:00:00+00,112,NORTH OF MILEPOST 23.12: SR 113-BURNT MTN RD INTERSECTION,Bothways,112,,,11.6400003,5.30999994,0.74000001,1800,23.0400009,{D0DB6CE2-C498-4ABE-BE44-1A00B9A7DAD4},2022
-122.264976924567,48.9998764321114,529,2022/12/31 08:00:00+00,009,"SOUTH OF MILEPOST 98.00: GARFIELD ST, SR 9 SPSUMAS (SPUR) INTERSECTION",Bothways,009,,,2.32999992,9.75,0.899999976,3100,97.1699982,{602FFEAA-4BDD-4BF6-89F4-2AABB110742E},2022
-122.51612305081,48.7884296474752,530,2022/12/31 08:00:00+00,005,AT MILEPOST 257.66: BAKERVIEW RD UNDERCROSSING,Bothways,005,,,,,,43000,257.640015,{267DF4A2-0C91-4E2A-A990-AA38D83EB3BD},2022
-122.581410120604,45.6560013422858,531,2022/12/31 08:00:00+00,500,EAST OF MILEPOST 4.22: NE THURSTON WAY OFF RAMP,Bothways,500,,,,,,71000,4.23000002,{256A536A-8B2D-409D-A6F3-142205D1295A},2022
-122.435284153613,47.2472046197746,532,2022/12/31 08:00:00+00,705,NORTH OF MILEPOST 0.99: SR 509 ON RAMP,Bothways,705,,,,,,51000,1,{DC35091C-F3BD-4160-B842-6397BC261014},2022
-121.88517182049,45.6929318609912,533,2022/12/31 08:00:00+00,014,NORTHWEST OF MILEPOST 44.18: SEYMOUR ST INTERSECTION,Bothways,014,,,,,,7900,44.0999985,{91547C95-14A0-41BA-8DB3-AC7F451BD513},2022
-121.13189347198,47.2184136950395,534,2022/12/31 08:00:00+00,090S107364,"S1 RAMP (W NELSON RD TO SR 90 WB)  AFTER MILEPOST 0.00: LX07405-W NELSON RD INTERSECTION; BEGIN ROUTE",West,090,S1,07364,11.6499996,8.02999973,1.61000001,250,0.0799999982,{0478690C-2A56-4B13-8420-AC4255CA9D9E},2022
-122.851109161592,47.040650702288,535,2022/12/31 08:00:00+00,005P110709,"P1 RAMP (SR 5 NB TO PACIFIC AVE)  AFTER MILEPOST 0.00: SR 5 NB INTERSECTION; BEGIN ROUTE",East,005,P1,10709,,,,10000,0.400000006,{6CB736E9-8FAE-41F4-B0C6-E00E1B26DACB},2022
-122.852880767108,47.0425378953638,536,2022/12/31 08:00:00+00,005S510691,"S5 RAMP (PACIFIC AVE TO S110691)  AFTER MILEPOST 0.00: LX10745-PACIFIC AVE INTERSECTION; BEGIN ROUTE",Northeast,005,S5,10691,,,,6400,0.0900000036,{B17DA38A-153B-4DFB-B485-321442EA02D4},2022
-122.926121849902,46.1229717136699,537,2022/12/31 08:00:00+00,411,"AT MILEPOST 0.00: SR 432 WB UNDERCROSSING; BEGIN ROUTE",Bothways,411,,,4.67999983,9.61999989,0.25,17000,0,{BB07A44B-C1E2-48AA-B6CC-58B8B01B9C51},2022
-119.780822555208,48.0845876995457,538,2022/12/31 08:00:00+00,173,NORTH OF MILEPOST 10.62: CRANE ORCHARD RD INTERSECTION,Bothways,173,,,,,,3600,10.5,{7EC2790C-5BC6-49F1-94E6-6ED3AAA8D21A},2022
-120.020432022249,46.3059816189401,539,2022/12/31 08:00:00+00,082,AT MILEPOST 66.93: MIDVALE RD BRIDGE,Bothways,082,,,,,,19000,66.9000015,{E05C181E-58DB-4ECD-97DC-4D849670DEB3},2022
-122.505291393085,47.146204799502,540,2022/12/31 08:00:00+00,005P112560,"P1 RAMP (SR 5 NB TO BRIDGEPORT WY)  AFTER MILEPOST 0.00: SR 5 NB INTERSECTION; BEGIN ROUTE",Northeast,005,P1,12560,,,,7100,0.180000007,{79D8BFA7-C937-4C4D-A17D-0E7C64A9DC17},2022
-122.467279223519,48.7440150090365,541,2022/12/31 08:00:00+00,005S125260,"S1 RAMP (LAKEWAY DR TO SR 5 SB)  AFTER MILEPOST 0.00: LX25297-LAKEWAY DR INTERSECTION; BEGIN ROUTE",South,005,S1,25260,,,,3800,0.0700000003,{003DDE3F-3B1A-43A9-8E8F-684C73D48D98},2022
-122.328933927515,47.6902759118976,542,2022/12/31 08:00:00+00,005,AT MILEPOST 171.50: N 85TH ST UNDERCROSSING,Bothways,005,,,,,,149000,171.479996,{058B9D6E-418F-47A0-BC24-87C5273896A7},2022
-122.435753285563,47.0823961932986,543,2022/12/31 08:00:00+00,507,SOUTH OF MILEPOST 43.49: PARK AND RIDE LOT ENTRANCE/EXIT,Bothways,507,,,7.94000006,2.5,0.419999987,15000,43.7900009,{6C699EAB-233A-43FB-A4EB-AD185C7C4626},2022
-117.356522354206,47.7813951265126,544,2022/12/31 08:00:00+00,002,"NORTHWEST OF MILEPOST 296.81: SR 395 NSC SB OFF RAMP; SR 395 NSC NB ON RAMP",Bothways,002,,,,,,28000,288.720001,{9026F907-3C1B-4365-8EDA-1C5E189A04A2},2022
-122.708710720523,47.6361260985817,545,2022/12/31 08:00:00+00,003S104293,"S1 RAMP (NEWBERRY HILL TO SR 3 SB)  AFTER MILEPOST 0.00: LX04349-NEWBERRY HILL RD INTERSECTION; BEGIN ROUTE",Southwest,003,S1,04293,,,,5100,0.0599999987,{2F5505DD-6068-4B41-BBC5-2E3417CB01B4},2022
-122.562182322292,45.6354678700401,546,2022/12/31 08:00:00+00,205LX02934,LATERAL CROSSING (NE 18TH ST)  NORTHWEST OF MILEPOST 0.03: S102881 ROUNDABOUT,Bothways,205,LX,02934,,,,3100,0.0199999996,{41D7BD84-243F-4661-9666-8747CE4A0DA9},2022
-122.694305421267,47.6606481799128,547,2022/12/31 08:00:00+00,003P104530,"P1 RAMP (SR 3 NB TO CLEAR CRK RD)  AFTER MILEPOST 0.00: SR 3 NB INTERSECTION; BEGIN ROUTE",East,003,P1,04530,,,,6800,0.200000003,{ECC3D0C8-A508-496E-808B-0E46B4F5BCFF},2022
-122.519179404509,47.8089562746101,548,2022/12/31 08:00:00+00,104,NORTHWEST OF MILEPOST 23.06: PARCELLS RD NE WYE CONNECTION,Bothways,104,,,,,,13000,22.9200001,{6194078A-107D-487E-B33A-542E4B5BE7C4},2022
-122.289234777397,48.8433330727948,549,2022/12/31 08:00:00+00,542,"WEST OF MILEPOST 9.97: BUSINESS SB, SR 9 SB ROUNDABOUT",Bothways,542,,,4.40999985,3.20000005,0.550000012,11000,9.96000004,{D0CF4674-E1F7-42C7-909F-27A4B1D461C6},2022
-117.420059597667,46.4360887033659,550,2022/12/31 08:00:00+00,012,"NORTHWEST OF MILEPOST 413.54: FAIRVIEW RD, LEGGE RD INTERSECTION",Bothways,012,,,,,,2700,410.339996,{ABC988D5-E18C-4C9C-BD12-CC147AB01255},2022
-122.943001870322,47.0338569364767,551,2022/12/31 08:00:00+00,101S136479,S1 RAMP (BLK LK BLVD TO SR 101 WB)  AFTER MILEPOST 0.03: LX36542 WYE CONNECTION,Northwest,101,S1,36479,6,1.38999999,0.0299999993,3800,0.159999996,{5027F1A8-8958-4C66-9246-1CF6F200C877},2022
-122.335427607858,47.4340980072961,552,2022/12/31 08:00:00+00,509,NORTH OF MILEPOST 22.54: NORMANDY PARK DR SW INTERSECTION,Bothways,509,,,,,,13000,26.2999992,{E693B3C2-22D8-4D12-913A-9BCFAE9BDBB0},2022
-118.297932253972,47.1617316116393,553,2022/12/31 08:00:00+00,090P122618,"P1 RAMP (SR 90 EB TO SCHOESSLER)  AFTER MILEPOST 0.00: SR 90 EB INTERSECTION; BEGIN ROUTE",East,090,P1,22618,8.02999973,29.2000008,6.57000017,140,0.300000012,{8DED5030-B7BB-4E0A-8239-EC844ABC3747},2022
-120.093467346687,48.181241467592,554,2022/12/31 08:00:00+00,153,NORTH OF MILEPOST 16.82: GOLD CREEK LOOP RD INTERSECTION,Bothways,153,,,8.28999996,5.36000013,0.50999999,1400,16.8700008,{56F53F85-3F6B-452D-98E8-FCF7EEA66AC7},2022
-122.329858732629,47.7526616349816,555,2022/12/31 08:00:00+00,005P217579,"P2 RAMP (METRO TRANS TO NE 175TH)  AFTER MILEPOST 0.00: LX17552 INTERSECTION; BEGIN ROUTE",North,005,P2,17579,,,,430,0.379999995,{72D90D1E-F797-414C-ACBB-2AA31D00178E},2022
-118.495505109045,47.1102262964422,556,2022/12/31 08:00:00+00,090P121496,"P1 RAMP (SR 90 EB TO PAHA-PACKARD)  AFTER MILEPOST 0.00: SR 90 EB INTERSECTION; BEGIN ROUTE",East,090,P1,21496,11.1099997,17.7800007,4.44000006,50,0.219999999,{F764717D-19E1-4CDC-8A9D-77DF5AE54547},2022
-120.47312305098,46.5383806031531,557,2022/12/31 08:00:00+00,082R103848,"R1 RAMP (SR 82 WB TO MAIN ST)  AFTER MILEPOST 0.00: SR 82 WB INTERSECTION; BEGIN ROUTE",Northwest,082,R1,03848,4.75,3.72000003,0.930000007,1900,0.519999981,{3F46F91D-488B-4406-9AED-9C16F8F18057},2022
-122.569990991985,45.6603466342878,558,2022/12/31 08:00:00+00,205Q203117,"Q2 RAMP (FOURTH PL BVD TO Q103117)  AFTER MILEPOST 0.00: LX03111, NE FOURTH PLAIN BLVD INTERSECTION; BEGIN ROUTE",Southeast,205,Q2,03117,,,,2200,0.0399999991,{BD0472F7-09FE-47BD-A0DA-A5AC84B1E70C},2022
-122.771083468306,47.0613557053405,559,2022/12/31 08:00:00+00,005P211084,"P2 RAMP (P111084 TO GALAXY DR)  AFTER MILEPOST 0.00: P111084 INTERSECTION; BEGIN ROUTE",East,005,P2,11084,,,,7600,0.209999993,{9E5BE10B-6C7C-4650-BE5B-D48E880A3B17},2022
-123.459422708732,48.1101697620534,560,2022/12/31 08:00:00+00,117,NORTHWEST OF MILEPOST 0.29: LAURIDSEN BLVD INTERSECTION,Bothways,117,,,11.79,6.44000006,1,6800,0.300000012,{5FF54D98-E168-4033-9563-23A1D8A93213},2022
-122.004872117597,47.419509966654,561,2022/12/31 08:00:00+00,018,NORTHWEST OF MILEPOST 18.57: 244TH AVE SE ON RAMP,Bothways,018,,,4.65999985,11.3100004,0.800000012,30000,19.0799999,{E700789B-2810-4726-A031-69F1853D5446},2022
-122.329350602105,47.6958093029707,562,2022/12/31 08:00:00+00,005RL005EXP,NORTH OF MILEPOST 171.88: 103RD ST*1ST AVE (REV) OFF RAMP,Bothways,005,RL,005EXP,,,,25000,6.5999999,{8D5F21FC-8ABA-4276-9435-D1A952F0C72E},2022
-119.172581847405,47.0924245048514,563,2022/12/31 08:00:00+00,090,AT MILEPOST 182.83: O RD NE BRIDGE,Bothways,090,,,,,,12000,181.110001,{2F820FE5-04F9-4CB6-852D-3CEE115A519B},2022
-122.295531666714,47.0403075867345,564,2022/12/31 08:00:00+00,161,"NORTH OF MILEPOST 17.30: 238TH ST E, PVT RD INTERSECTION",Bothways,161,,,,,,15000,17.3099995,{0D0AB532-494B-4C3A-BB73-098444F81CDA},2022
-122.193126924754,48.1763890932803,565,2022/12/31 08:00:00+00,005,AT MILEPOST 207.76: PERMANENT RECORDER R001S,Bothways,005,,,3.82999992,4.84000015,0.49000001,92000,207.729996,{65323DB3-669B-476B-ABB9-1395C9500478},2022
-122.291563113084,47.4597972280902,566,2022/12/31 08:00:00+00,099,NORTH OF MILEPOST 20.12: S 160TH ST INTERSECTION,Bothways,099,,,,,,33000,16.4799995,{281AC908-B5B1-44B9-8F3B-08FDCD8F1158},2022
-117.716008396964,48.208137858317,567,2022/12/31 08:00:00+00,231,SOUTHEAST OF MILEPOST 75.14: NEWTON LN INTERSECTION,Bothways,231,,,8.51000023,4.23000002,0.699999988,1600,74.9400024,{5EBCF553-BF48-4E29-84EE-18B64035D5CF},2022
-122.081410221026,47.3773101867994,568,2022/12/31 08:00:00+00,018,NORTHWEST OF MILEPOST 13.69: SE 256TH ST ON RAMP,Bothways,018,,,,,,39000,14.2299995,{42448E10-8D5E-4730-BC6A-AFB635691664},2022
-122.387882308747,45.5802837755543,569,2022/12/31 08:00:00+00,014S101410,"S1 RAMP (SR 500 TO SR 14 WB)  AFTER MILEPOST 0.00: SR 500 INTERSECTION; BEGIN ROUTE",West,014,S1,01410,3.49000001,4.69000006,0.289999992,3400,0.109999999,{0F2EC4A5-F431-41F3-BA6A-8CCC44C3C139},2022
-123.827863989895,46.6835065401502,570,2022/12/31 08:00:00+00,101,AT MILEPOST 52.51: POTTER SLOUGH BRIDGE,Bothways,101,,,5.36000013,4.42999983,0.300000012,3600,52.5099983,{59B68F41-87BF-4BD1-9942-989BF76CAB25},2022
-119.472067020277,46.2524491978636,571,2022/12/31 08:00:00+00,224,SOUTHEAST OF MILEPOST 0.24B: KENNEDY RD INTERSECTION,Bothways,224,,,3.73000002,1.60000002,0.129999995,6100,0.230000004,{90CCC37A-A987-494A-A4AB-B556F4D1C619},2022
-122.908559977057,46.1465631267897,572,2022/12/31 08:00:00+00,004,"SOUTH OF MILEPOST 61.53: 4TH AVE N, SR 4 COKELSO (COUPLET) INTERSECTION",South,004,,,,,,3700,61.5299988,{7BF4D18E-DEB3-48B6-9CEA-8D6536208CE9},2022
-122.271066743851,47.4810030863837,573,2022/12/31 08:00:00+00,005P115559,"P1 RAMP (SR 5 NB TO SR 599 NB)  AFTER MILEPOST 0.00: SR 5 NB INTERSECTION; BEGIN ROUTE",North,005,P1,15559,,,,26000,0.219999999,{27DCE8E3-3E8C-402A-B21A-3EC910D0DFAD},2022
-120.242738751578,46.393765182523,574,2022/12/31 08:00:00+00,082S105361,"S1 RAMP (YAKIMA VY HY TO SR 82 WB)  AFTER MILEPOST 0.00: LX05408-YAKIMA VLLY HWY INTERSECTION; BEGIN ROUTE",West,082,S1,05361,2.08999991,2.54999995,3.26999998,1500,0.0900000036,{BF309F7A-B2DE-4412-BEBD-0EC50D5568F0},2022
-122.332310937522,47.469356419402,575,2022/12/31 08:00:00+00,509S102527,"S1 RAMP (S 148TH ST TO SR 509 SB)  AFTER MILEPOST 0.00: LX02560-SW 148TH ST INTERSECTION; BEGIN ROUTE",South,509,S1,02527,,,,5600,0.0700000003,{576C0DD4-3EE8-4036-B7A8-59EDE8F7E9EA},2022
-119.422484507043,46.3831194581763,576,2022/12/31 08:00:00+00,240,SOUTHEAST OF MILEPOST 20.49: HORN RD WYE CONNECTION,Bothways,240,,,,,,6000,20.5,{F245459C-5F37-4772-A031-C7959D616E3C},2022
-121.520917286818,45.728498688417,577,2022/12/31 08:00:00+00,141SPUNDRWD,"NORTH OF MILEPOST 6.85: SR 14 INTERSECTION; END ROUTE",Bothways,141,SP,UNDRWD,6.61000013,2.06999993,0.519999981,3500,2.1500001,{B29498CB-A1A2-4A8C-8368-1B026294541B},2022
-122.486023104426,48.7872765261139,578,2022/12/31 08:00:00+00,539,NORTH OF MILEPOST 0.30: E BELLIS FAIR PKWY INTERSECTION,Bothways,539,,,,,,35000,0.310000002,{C2AFD724-3613-4F92-8201-71268C834042},2022
-122.883582386126,46.1058461288049,579,2022/12/31 08:00:00+00,005S203611,"S2 RAMP (TALLEY WAY TO S103611)  AFTER MILEPOST 0.00: SR 432 Q101029 INTERSECTION; BEGIN ROUTE",East,005,S2,03611,,,,1300,0.109999999,{4DD0A94D-DD1B-46AD-8995-1AF909DDE869},2022
-117.352101469098,47.787106779819,580,2022/12/31 08:00:00+00,206,EAST OF MILEPOST 0.04: MARKET ST INTERSECTION,Bothways,206,,,2.6500001,0.720000029,0.0299999993,10000,0.0500000007,{21CCE093-28BE-4565-9047-B84BEADCE993},2022
-117.791476388425,47.436772207543,581,2022/12/31 08:00:00+00,090LX25769,"LATERAL CROSSING (TYLER CHENEY HWY)  SOUTHEAST OF MILEPOST 0.00: S125723 OFF RAMP; R125797 ON RAMP; BEGIN ROUTE",Bothways,090,LX,25769,5.25,4.07000017,0.319999993,930,0.00999999978,{7623EB76-58FC-42E0-90D5-71C044141A8D},2022
-117.400732446228,47.750786173493,582,2022/12/31 08:00:00+00,002,SOUTHEAST OF MILEPOST 293.79: HAWTHORNE RD WYE CONNECTION,Bothways,002,,,,,,21000,285.679993,{C11BF5B4-26D5-4805-B159-C9A6D3A65B02},2022
-122.317709396606,48.308096937925,583,2022/12/31 08:00:00+00,005R121887,"R1 RAMP (SR 5 SB TO STARBIRD RD)  AFTER MILEPOST 0.00: SR 5 SB INTERSECTION; BEGIN ROUTE",Southeast,005,R1,21887,4.38000011,2.19000006,0.100000001,1000,0.239999995,{C722125F-4F1F-4DCA-A11E-29A0B4687AC8},2022
-122.591730916052,47.3211039872296,584,2022/12/31 08:00:00+00,016S501188,"S5 RAMP (WOLLOCHT DR TO SR 16 EB)  AFTER MILEPOST 0.00: LX01201-WOLLOCHET DR NW INTERSECTION; BEGIN ROUTE",North,016,S5,01188,,,,6300,0.0700000003,{5D149EEC-3AB9-4931-8377-77C7F36B1116},2022
-122.765303224145,47.0638310719132,585,2022/12/31 08:00:00+00,510,"AT MILEPOST 0.01: SR 5 BRIDGE; BEGIN ROUTE",Bothways,510,,,3.43000007,2.26999998,0.140000001,33000,0,{7F36D165-174B-474F-A0CD-1FDB5257CBD5},2022
-122.422976658731,47.2362968008355,586,2022/12/31 08:00:00+00,005,NORTHWEST OF MILEPOST 134.25: SR 705-SR 7 OFF RAMP,Bothways,005,,,,,,224000,134.240005,{F8171DDA-98E8-4742-B380-23C01330DF72},2022
-122.108095115678,47.3580799923976,587,2022/12/31 08:00:00+00,516,WEST OF MILEPOST 12.08: SE WAX RD WYE CONNECTION,Bothways,516,,,,,,28000,12.3400002,{743F9ADF-A339-4566-B052-56A2DC52FA95},2022
-122.503393565868,48.7835572953508,588,2022/12/31 08:00:00+00,005R125713,"R1 RAMP (SR 5 SB TO NORTHWEST AVE)  AFTER MILEPOST 0.00: SR 5 SB INTERSECTION; BEGIN ROUTE",Southeast,005,R1,25713,,,,2100,0.159999996,{D1D62393-E245-4A60-98AC-F24FBB1855E8},2022
-122.29480935467,47.0529191355558,589,2022/12/31 08:00:00+00,161,SOUTH OF MILEPOST 18.19: 224TH ST E INTERSECTION,Bothways,161,,,2.80999994,1.63999999,0.150000006,18000,18.1800003,{3F8AAE6B-87B6-4965-9A00-8DCF8DE559F5},2022
-121.601746061654,48.2554128750706,590,2022/12/31 08:00:00+00,530,"NORTH OF MILEPOST 49.07: MOUNTAIN LOOP RD, SEEMAN ST INTERSECTION",Bothways,530,,,4.51000023,5.03999996,2.20000005,3400,31.8899994,{D4CDCC8B-2CF0-418D-939B-49AF835682D4},2022
-117.04348573272,48.17804561418,591,2022/12/31 08:00:00+00,002,EAST OF MILEPOST 333.91: SR 2 CONEWPRT WYE CONNECTION,East,002,,,,,,4700,325.75,{5654750C-9362-4DAF-BBB4-B4E1D919B0D5},2022
-120.411360651324,46.9708616412707,592,2022/12/31 08:00:00+00,090Q111597,"Q1 RAMP (S MAIN ST TO SR 90 EB)  AFTER MILEPOST 0.00: LX11547-S MAIN ST INTERSECTION; BEGIN ROUTE",East,090,Q1,11597,7.30999994,11.46,5.34000015,510,0.100000001,{C24C1044-07BD-4ABD-9EEE-D5CFF2A92BE9},2022
-121.981167623135,47.1994134002698,593,2022/12/31 08:00:00+00,410,"EAST OF MILEPOST 24.82: SHOPPING CENTER ENTRANCE/EXIT; SR 164 INTERSECTION",Bothways,410,,,,,,11000,15.9899998,{0070D80B-4845-4823-993C-62A624C527D4},2022
-122.246985205821,47.3106405397587,594,2022/12/31 08:00:00+00,167,NORTHWEST OF MILEPOST 14.94: SR 18 WB ON RAMP,Bothways,167,,,3.57999992,3.38000011,0.180000007,131000,16.2299995,{84562041-28C4-4510-B278-A1A4DC178109},2022
-117.365018935894,46.874722000753,595,2022/12/31 08:00:00+00,195,NORTH OF MILEPOST 37.46: MAIN ST WYE CONNECTION,Bothways,195,,,,,,8900,35.6100006,{BDFAC36F-191D-4445-A4B2-1FA872513C99},2022
-122.164827035087,47.9780793014616,596,2022/12/31 08:00:00+00,002P100097,"P1 RAMP (SR 2 EB TO 50TH AVE SE)  AFTER MILEPOST 0.00: SR 2 EB INTERSECTION; BEGIN ROUTE",East,002,P1,00097,,,,1200,0.230000004,{64D831ED-47F6-42AF-8192-E31B9294AE54},2022
-119.828668899691,47.1033628644115,597,2022/12/31 08:00:00+00,090R115202,"R1 RAMP (SR 90 WB TO SR 281 SPUR)  AFTER MILEPOST 0.00: SR 90 WB INTERSECTION; BEGIN ROUTE",West,090,R1,15202,7.42999983,11.9899998,2.69000006,1600,0.230000004,{22C64D87-4C63-4821-9E66-F2976B45F5C2},2022
-122.669877414083,47.6564110738566,598,2022/12/31 08:00:00+00,303P100747,"P1 RAMP (SR 303 WB TO LX00766)  AFTER MILEPOST 0.00: SR 303 WB INTERSECTION; BEGIN ROUTE",Northwest,303,P1,00747,,,,5400,0.150000006,{9828EC0B-6D22-4E68-AEB9-F1F69E8A6D5D},2022
-121.607275306992,48.2552413212511,599,2022/12/31 08:00:00+00,530,EAST OF MILEPOST 48.82: MADISON ST INTERSECTION,Bothways,530,,,,,,4000,31.6399994,{A556C95D-6102-44D6-911E-03D284FE2E29},2022
-122.297277609486,47.4996276559119,600,2022/12/31 08:00:00+00,099R102324,"R1 RAMP (SR 99 SB TO TUK INT'L BV)  AFTER MILEPOST 0.00: SR 99 SB INTERSECTION; BEGIN ROUTE",South,099,R1,02324,,,,2100,0.119999997,{35A91336-705B-4E16-B35F-6B3630A46414},2022
